model,k,precision@5,recall@5,ndcg@5,novelty@5,diversity@5
PopularityBaseline,k=5,0.004760000000000001,0.0021737755043930275,0.004973841162087837,0.21684521564814654,1.0
ALS,k=5,0.0,0.0,0.0,12.160303433601424,1.0
ALS_Reranked,k=5,0.0,0.0,0.0,12.152079397065002,1.0
