iter	Logloss
0	0.5927762145
1	0.5242748062
2	0.4766566486
3	0.4417217673
4	0.4225422733
5	0.4041223209
6	0.3934588748
7	0.3835662652
8	0.3771262815
9	0.3731650823
10	0.3679734355
11	0.3653916283
12	0.362898856
13	0.3588014734
14	0.3551468081
15	0.3523969393
16	0.3504554276
17	0.3485948882
18	0.347533085
19	0.3462462054
20	0.3450871214
21	0.3450416895
22	0.3441523496
23	0.3434277602
24	0.3424781637
25	0.3418415675
26	0.3414494971
27	0.3407977021
28	0.3401563352
29	0.3397267741
30	0.3390953221
31	0.338659146
32	0.3383517938
33	0.3376138847
34	0.3375426693
35	0.337282261
36	0.3371497862
37	0.3369976201
38	0.3366621155
39	0.3363240678
40	0.3359352063
41	0.3358153717
42	0.3353563218
43	0.335221867
44	0.3349878867
45	0.3348459508
46	0.3344682727
47	0.3339802114
48	0.3336897252
49	0.3332389159
50	0.3326282131
51	0.3325104164
52	0.3323440122
53	0.3321995769
54	0.3320936666
55	0.3319073145
56	0.3318382847
57	0.331512305
58	0.3313242442
59	0.330885846
60	0.3307583736
61	0.3305355057
62	0.3302783723
63	0.3301462801
64	0.3300510747
65	0.3300028518
66	0.3297871937
67	0.3296777299
68	0.3293225207
69	0.3292334388
70	0.3291864993
71	0.3290883851
72	0.3289419901
73	0.3287306794
74	0.3284992362
75	0.3283773307
76	0.3283503921
77	0.3281896184
78	0.3279526697
79	0.3274767826
80	0.3274316794
81	0.3269581035
82	0.3262786682
83	0.3262135314
84	0.3255281474
85	0.3254721045
86	0.3254122458
87	0.325252258
88	0.3249536327
89	0.3247849118
90	0.3245739323
91	0.3243497851
92	0.3241225797
93	0.3238634848
94	0.3235884285
95	0.3234099932
96	0.3230718706
97	0.3225847259
98	0.3224655026
99	0.3221074491
100	0.3218802688
101	0.3215801722
102	0.3213861616
103	0.321220525
104	0.3207935387
105	0.3205940476
106	0.3203535215
107	0.3201859168
108	0.319892708
109	0.3193640278
110	0.3191017558
111	0.3188844377
112	0.3184752074
113	0.3182035522
114	0.3179874447
115	0.3177135097
116	0.3174566062
117	0.3173065902
118	0.3169480003
119	0.3168207716
120	0.3166963084
121	0.3165838345
122	0.3164766684
123	0.3163679543
124	0.3162724215
125	0.3161390553
126	0.315917816
127	0.3157018544
128	0.3154274665
129	0.3152429993
130	0.3150925847
131	0.3150087557
132	0.3149529955
133	0.3148863316
134	0.3146601399
135	0.3145698128
136	0.3144444414
137	0.3142428516
138	0.3141576168
139	0.3140091211
140	0.3138812498
141	0.3136021627
142	0.3134563344
143	0.3133522172
144	0.3132553071
145	0.3131582669
146	0.313062718
147	0.3129751542
148	0.3127456466
149	0.3126511424
150	0.3124140248
151	0.312293949
152	0.312089103
153	0.3117957468
154	0.3117048072
155	0.3116181132
156	0.3115282122
157	0.3114356491
158	0.3113568136
159	0.3113124525
160	0.3112530357
161	0.3112192501
162	0.311173616
163	0.3109909995
164	0.3107571253
165	0.3106922693
166	0.3105158364
167	0.3102953714
168	0.310142708
169	0.3100942627
170	0.3100128186
171	0.3099628264
172	0.3099126483
173	0.3098873189
174	0.3097043
175	0.3096690871
176	0.30957507
177	0.3094868469
178	0.309465407
179	0.3094165094
180	0.3092982824
181	0.3092419524
182	0.309154939
183	0.3089541843
184	0.3087986308
185	0.3087221722
186	0.3086501005
187	0.3085937273
188	0.308516626
189	0.3084464231
190	0.3083734662
191	0.3083463351
192	0.3081926322
193	0.3080516756
194	0.3078500349
195	0.3078229179
196	0.307598918
197	0.3075486246
198	0.3074636956
199	0.3072222292
200	0.3071509991
201	0.3070965522
202	0.3069347742
203	0.3067628041
204	0.3067045353
205	0.3066592785
206	0.3066204171
207	0.3065284595
208	0.3064862573
209	0.3064551732
210	0.3064314474
211	0.3063224205
212	0.3061593389
213	0.3060841648
214	0.3060397801
215	0.3059807943
216	0.3059280259
217	0.3059089613
218	0.3058650148
219	0.3057842678
220	0.3056266854
221	0.3055705303
222	0.305521034
223	0.3054661045
224	0.3053132303
225	0.3052087081
226	0.3051920921
227	0.3050448627
228	0.304978389
229	0.3049267651
230	0.3048986052
231	0.3048359389
232	0.304821604
233	0.3047940222
234	0.3047740209
235	0.3046952734
236	0.3046052843
237	0.3045594785
238	0.3044917792
239	0.3043656729
240	0.3043434978
241	0.3041789633
242	0.3040631575
243	0.3039843878
244	0.3038969622
245	0.3038160217
246	0.3037694296
247	0.303753098
248	0.3035928017
249	0.3035062062
250	0.3033993607
251	0.3032611317
252	0.3031680489
253	0.3030647978
254	0.3030529059
255	0.3029472618
256	0.3028314532
257	0.3027441806
258	0.3026818004
259	0.3026010815
260	0.302493168
